"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Goebel C.; Louden C.L.; McKenna R., Jr.; Onugha O.; Wachtel A.; Long T.","Goebel, Cherylle (57209821294); Louden, Christopher L. (36504236500); McKenna, Robert (7102156772); Onugha, Osita (57190880135); Wachtel, Andrew (56906122100); Long, Thomas (57209822961)","57209821294; 36504236500; 7102156772; 57190880135; 56906122100; 57209822961","Blood test shows high accuracy in detecting stage i non-small cell lung cancer","2020","BMC Cancer","20","1","137","","","9","10.1186/s12885-020-6625-x","https://www.scopus.com/pages/publications/85079825190?origin=resultslist","Background: In a previous study (Goebel et. al, Cancer Genomics Proteomics 16:229-244, 2019), we identified 33 biomarkers for an early stage (I-II) Non-Small Cell Lung Cancer (NSCLC) test with 90% accuracy, 80.3% sensitivity, and 95.4% specificity. For the current study, we used a narrowed ensemble of 21 biomarkers while retaining similar accuracy in detecting early stage lung cancer. Methods: A multiplex platform, 486 human plasma samples, and 21 biomarkers were used to develop and validate our algorithm which detects early stage NSCLC. The training set consisted of 258 human plasma with 79 Stage I-II NSCLC samples. The 21 biomarkers with the statistical model (Lung Cancer Detector Test 1, LCDT1) was then validated using 228 novel samples which included 55 Stage I NSCLC. Results: The LCDT1 exhibited 95.6% accuracy, 89.1% sensitivity, and 97.7% specificity in detecting Stage I NSCLC on the blind set. When only NSCLC cancers were analyzed, the specificity increased to 99.1%. Conclusions: Compared to current approved clinical methods for diagnosing NSCLC, the LCDT1 greatly improves accuracy while being non-invasive; a simple, cost-effective, early diagnostic blood test should result in expanding access and increase survival rate. © 2020 The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85079825190"
"Islam S.; Wishart G.C.; Walls J.; Hall P.; Seco de Herrera A.G.; Gan J.Q.; Raza H.","Islam, Shafiqul (59316744900); Wishart, Gordon C. (7006733429); Walls, Joseph (57197488140); Hall, Per (8161259600); Seco de Herrera, Alba G. (57348565300); Gan, John Q. (58282887100); Raza, Haider (57195623793)","59316744900; 7006733429; 57197488140; 8161259600; 57348565300; 58282887100; 57195623793","Leveraging AI and patient metadata to develop a novel risk score for skin cancer detection","2024","Scientific Reports","14","1","20842","","","8","10.1038/s41598-024-71244-2","https://www.scopus.com/pages/publications/85203247985?origin=resultslist","Melanoma of the skin is the 17th most common cancer worldwide. Early detection of suspicious skin lesions (melanoma) can increase 5-year survival rates by 20%. The 7-point checklist (7PCL) has been extensively used to suggest urgent referrals for patients with a possible melanoma. However, the 7PCL method only considers seven meta-features to calculate a risk score and is only relevant for patients with suspected melanoma. There are limited studies on the extensive use of patient metadata for the detection of all skin cancer subtypes. This study investigates artificial intelligence (AI) models that utilise patient metadata consisting of 23 attributes for suspicious skin lesion detection. We have identified a new set of most important risk factors, namely “C4C risk factors”, which is not just for melanoma, but for all types of skin cancer. The performance of the C4C risk factors for suspicious skin lesion detection is compared to that of the 7PCL and the Williams risk factors that predict the lifetime risk of melanoma. Our proposed AI framework ensembles five machine learning models and identifies seven new skin cancer risk factors: lesion pink, lesion size, lesion colour, lesion inflamed, lesion shape, lesion age, and natural hair colour, which achieved a sensitivity of 80.46±2.50% and a specificity of 62.09±1.90% in detecting suspicious skin lesions when evaluated using the metadata of 53,601 skin lesions collected from different skin cancer diagnostic clinics across the UK, significantly outperforming the 7PCL-based method (sensitivity 68.09±2.10%, specificity 61.07±0.90%) and the Williams risk factors (sensitivity 66.32±1.90%, specificity 61.71±0.6%). Furthermore, through weighting the seven new risk factors we came up with a new risk score, namely “C4C risk score”, which alone achieved a sensitivity of 76.09±1.20% and a specificity of 61.71±0.50%, significantly outperforming the 7PCL-based risk score (sensitivity 73.91±1.10%, specificity 49.49±0.50%) and the Williams risk score (sensitivity 60.68±1.30%, specificity 60.87±0.80%). Finally, fusing the C4C risk factors with the 7PCL and Williams risk factors achieved the best performance, with a sensitivity of 85.24±2.20% and a specificity of 61.12±0.90%. We believe that fusing these newly found risk factors and new risk score with image data will further boost the AI model performance for suspicious skin lesion detection. Hence, the new set of skin cancer risk factors has the potential to be used to modify current skin cancer referral guidelines for all skin cancer subtypes, including melanoma. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203247985"
"Ju M.; Zhang J.; Deng Z.; Wei M.; Ma L.; Chen T.; Zhao L.","Ju, Mingyi (57216489679); Zhang, Jiaojiao (59246921600); Deng, Zhuoyuan (59246860800); Wei, Minjie (7202184532); Ma, Lianghua (55578420900); Chen, Ting (57204060772); Zhao, Lin (57054359400)","57216489679; 59246921600; 59246860800; 7202184532; 55578420900; 57204060772; 57054359400","Prophylactic IL-23 blockade uncouples efficacy and toxicity in dual CTLA-4 and PD-1 immunotherapy","2024","Journal for ImmunoTherapy of Cancer","12","7","e009345","","","18","10.1136/jitc-2024-009345","https://www.scopus.com/pages/publications/85200424547?origin=resultslist","Background Immune-related adverse events (irAEs), characterized by targeted inflammation, occur in up to 60% of patients with melanoma treated with immune checkpoint inhibitors (ICIs). Evidence proved that the baseline peripheral blood profiles of patients at risk for severe irAEs development paralleled clinical autoimmunity. Interleukin (IL)-23 blockade with risankizumab is recommended for cases that are suffering from autoimmune disease, such as autoimmune colitis. However, currently, the role of IL-23 in irAEs onset and severity remains poorly understood. Methods The pro-inflammatory cytokines most associated with severe irAEs onset were identified by retrospective analysis based on GSE186143 data set. To investigate the efficacy of prophylactic IL-23 blockade administration to prevent irAEs, refer to a previous study, we constructed two irAEs murine models, including dextran sulfate sodium salt (DSS)-induced colitis murine model and a combined-ICIs-induced irAEs murine model. To further explore the applicability of our findings, murine models with graft-versus-host disease were established, in which Rag2 -/- Il2rg -/- mice were transferred with human peripheral blood mononuclear cells and received combined cytotoxic T-lymphocyte associated antigen 4 (CTLA-4) and programmed cell death protein-1 (PD-1) treatment. Human melanoma cells were xenografted into these mice concomitantly. Results Here we show that IL-23 was upregulated in the serum of patients suffering from irAEs after dual anti-CTLA-4 and anti-PD-1 treatment, and increased as a function of irAEs severity. Additionally, Augmented CD4 + Tems may preferentially underlie irAEs onset. Treating mice with anti-mouse IL-23 antibody concomitantly with combined CTLA-4 and PD-1 immunotherapy ameliorates colitis and, in addition, preserves antitumor efficacy. Moreover, in xenografted murine models with irAEs, prophylactic blockade of human IL-23 using clinically available IL-23 inhibitor (risankizumab) ameliorated colitis, hepatitis and lung inflammation, and moreover, immunotherapeutic control of tumors was retained. Finally, we also provided a novel machine learning-based computational framework based on two blood-based features - IL-23 and CD4 + Tems - that may have predictive potential for severe irAEs and ICIs response. Conclusions Our study not only provides clinically feasible strategies to dissociate efficacy and toxicity in the use of combined ICIs for cancer immunotherapy, but also develops a blood-based biomarker that makes it possible to achieve a straightforward and non-invasive, detection assay for early prediction of irAEs onset.  © Author(s) (or their employer(s)) 2024.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85200424547"
"Premaladha J.; Ravichandran K.S.","Premaladha, J. (56181566900); Ravichandran, K.S. (7102687553)","56181566900; 7102687553","Novel Approaches for Diagnosing Melanoma Skin Lesions Through Supervised and Deep Learning Algorithms","2016","Journal of Medical Systems","40","4","96","1","12","189","10.1007/s10916-016-0460-2","https://www.scopus.com/pages/publications/84958051709?origin=resultslist","Dermoscopy is a technique used to capture the images of skin, and these images are useful to analyze the different types of skin diseases. Malignant melanoma is a kind of skin cancer whose severity even leads to death. Earlier detection of melanoma prevents death and the clinicians can treat the patients to increase the chances of survival. Only few machine learning algorithms are developed to detect the melanoma using its features. This paper proposes a Computer Aided Diagnosis (CAD) system which equips efficient algorithms to classify and predict the melanoma. Enhancement of the images are done using Contrast Limited Adaptive Histogram Equalization technique (CLAHE) and median filter. A new segmentation algorithm called Normalized Otsu’s Segmentation (NOS) is implemented to segment the affected skin lesion from the normal skin, which overcomes the problem of variable illumination. Fifteen features are derived and extracted from the segmented images are fed into the proposed classification techniques like Deep Learning based Neural Networks and Hybrid Adaboost-Support Vector Machine (SVM) algorithms. The proposed system is tested and validated with nearly 992 images (malignant & benign lesions) and it provides a high classification accuracy of 93 %. The proposed CAD system can assist the dermatologists to confirm the decision of the diagnosis and to avoid excisional biopsies. © 2016, Springer Science+Business Media New York.","Article","Final","","Scopus","2-s2.0-84958051709"
"Biasi L.D.; Citarella A.A.; Risi M.; Tortora G.","Biasi, Luigi DI (57188978927); Citarella, Alessia Auriemma (57226113587); Risi, Michele (9275600300); Tortora, Genoveffa (35587906400)","57188978927; 57226113587; 9275600300; 35587906400","A Cloud Approach for Melanoma Detection Based on Deep Learning Networks","2022","IEEE Journal of Biomedical and Health Informatics","26","3","","962","972","46","10.1109/JBHI.2021.3113609","https://www.scopus.com/pages/publications/85125964999?origin=resultslist","In the era of digitized images, the goal is to extract information from them and create new knowledge thanks to Computer Vision techniques, Machine Learning and Deep Learning. This enables the use of images for early diagnosis and subsequent treatment of a wide range of diseases. In the dermatological field, deep neural networks are used to distinguish between melanoma and non-melanoma images. In this paper, we have underlined two essential points of melanoma detection research. The first aspect considered is how even a simple modification of the parameters in the dataset determines a change of the accuracy of classifiers. In this case, we investigated the Transfer Learning issues. Following the results of this first analysis, we suggest that continuous training-test iterations are needed to provide robust prediction models. The second point is the need to have a more flexible system architecture that can handle changes in the training datasets. In this context, we proposed the development and implementation of a hybrid architecture based on Cloud, Fog and Edge Computing to provide a Melanoma Detection service based on clinical and dermoscopic images. At the same time, this architecture must deal with the amount of data to be analyzed by reducing the running time of the continuous retrain. This fact has been highlighted with experiments carried out on a single machine and different distribution systems, showing how a distributed approach guarantees output achievement in a much more sufficient time.  © 2013 IEEE.","Article","Final","","Scopus","2-s2.0-85125964999"
"Bollard S.M.; Howard J.; Casalou C.; Kelly B.S.; O'Donnell K.; Fenn G.; O'Reilly J.; Milling R.; Shields M.; Wilson M.; Ajaykumar A.; Triana K.; Wynne K.; Tobin D.J.; Kelly P.A.; McCann A.; Potter S.M.","Bollard, S.M. (57191953052); Howard, J. (57212977509); Casalou, C. (6507075922); Kelly, B.S. (57188853687); O'Donnell, K. (57470180300); Fenn, G. (59365343100); O'Reilly, J. (59293767600); Milling, R. (57900495800); Shields, M. (59365217400); Wilson, M. (59440200900); Ajaykumar, A. (59068056500); Triana, K. (59067050600); Wynne, K. (16070045400); Tobin, D.J. (57221458935); Kelly, P.A. (55984410900); McCann, A. (7003674061); Potter, S.M. (57206541918)","57191953052; 57212977509; 6507075922; 57188853687; 57470180300; 59365343100; 59293767600; 57900495800; 59365217400; 59440200900; 59068056500; 59067050600; 16070045400; 57221458935; 55984410900; 7003674061; 57206541918","Proteomic and metabolomic profiles of plasma-derived Extracellular Vesicles differentiate melanoma patients from healthy controls","2024","Translational Oncology","50","","102152","","","17","10.1016/j.tranon.2024.102152","https://www.scopus.com/pages/publications/85206242732?origin=resultslist","Background: Plasma-derived Extracellular Vesicles (EVs) have been suggested as novel biomarkers in melanoma, due to their ability to reflect the cell of origin and ease of collection. This study aimed to identify novel EV biomarkers that can discriminate between disease stages. This was achieved by characterising the plasma-derived EVs of patients with melanoma, and comparing their proteomic and metabolomic profile to those from healthy controls. Methods: EVs were isolated from the plasma of 36 patients with melanoma and 13 healthy controls using Size Exclusion Chromatography. Proteomic and Metabolomic Analyses were performed, and machine learning algorithms were used to identify potential proteins and metabolites to differentiate the plasma-derived EVs from melanoma patients of different disease stages. Results: The concentration and size of the EV population isolated was similar between groups. Proteins (APOC4, PRG4, PLG, TNC, VWF and SERPIND1) and metabolites (lyso PC a C18:2, PC ae C44:3) previously associated with melanoma pathogenesis were identified as relevant in differentiating between disease stages. Conclusion: The results further support the continued investigation of circulating plasma-derived EVs as biomarkers in melanoma. Furthermore, the potential of combined proteo-metabolomic signatures for differentiation between disease stages may provide valuable insights into early detection, prognosis, and personalised treatment strategies. © 2024","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85206242732"
"Ma J.; Iddir S.P.; Ganesh S.; Yi D.; Heiferman M.J.","Ma, Jiechao (57225207950); Iddir, Sabrina P. (58728241200); Ganesh, Sanjay (58764805900); Yi, Darvin (57206277441); Heiferman, Michael J. (35788837000)","57225207950; 58728241200; 58764805900; 57206277441; 35788837000","Automated segmentation for early detection of uveal melanoma","2024","Canadian Journal of Ophthalmology","59","6","","e784","e791","14","10.1016/j.jcjo.2024.04.003","https://www.scopus.com/pages/publications/85194355364?origin=resultslist","Objective: Uveal melanoma is the most common intraocular malignancy in adults. Current screening and triaging methods for melanocytic choroidal tumours face inherent limitations, particularly in regions with limited access to specialized ocular oncologists. This study explores the potential of machine learning to automate tumour segmentation. We develop and evaluate a machine-learning model for lesion segmentation using ultra-wide-field fundus photography. Method: A retrospective chart review was conducted of patients diagnosed with uveal melanoma, choroidal nevi, or congenital hypertrophy of the retinal pigmented epithelium at a tertiary academic medical centre. Included patients had a single ultra-wide-field fundus photograph (Optos PLC, Dunfermline, Fife, Scotland) of adequate quality to visualize the lesion of interest, as confirmed by a single ocular oncologist. These images were used to develop and test a machine-learning algorithm for lesion segmentation. Results: A total of 396 images were used to develop a machine-learning algorithm for lesion segmentation. Ninety additional images were used in the testing data set along with images of 30 healthy control individuals. Of the images with successfully detected lesions, the machine-learning segmentation yielded Dice coefficients of 0.86, 0.81, and 0.85 for uveal melanoma, choroidal nevi, and congenital hypertrophy of the retinal pigmented epithelium, respectively. Sensitivities for any lesion detection per image were 1.00, 0.90, and 0.87, respectively. For images without lesions, specificity was 0.93. Conclusion: Our study demonstrates a novel machine-learning algorithm's performance, suggesting its potential clinical utility as a widely accessible method of screening choroidal tumours. Additional evaluation methods are necessary to further enhance the model's lesion classification and diagnostic accuracy. © 2024","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85194355364"
"Kiran A.; Narayanasamy N.; Ramesh J.V.N.; Ahmad M.W.","Kiran, Ajmeera (57203283005); Narayanasamy, Navaprakash (57203341274); Ramesh, Janjhyam Venkata Naga (59253432200); Ahmad, Mohd Wazih (36245794300)","57203283005; 57203341274; 59253432200; 36245794300","A novel deep learning framework for accurate melanoma diagnosis integrating imaging and genomic data for improved patient outcomes","2024","Skin Research and Technology","30","6","e13770","","","12","10.1111/srt.13770","https://www.scopus.com/pages/publications/85196072734?origin=resultslist","Background: Melanoma is one of the most malignant forms of skin cancer, with a high mortality rate in the advanced stages. Therefore, early and accurate detection of melanoma plays an important role in improving patients' prognosis. Biopsy is the traditional method for melanoma diagnosis, but this method lacks reliability. Therefore, it is important to apply new methods to diagnose melanoma effectively. Aim: This study presents a new approach to classify melanoma using deep neural networks (DNNs) with combined multiple modal imaging and genomic data, which could potentially provide more reliable diagnosis than current medical methods for melanoma. Method: We built a dataset of dermoscopic images, histopathological slides and genomic profiles. We developed a custom framework composed of two widely established types of neural networks for analysing image data Convolutional Neural Networks (CNNs) and networks that can learn graph structure for analysing genomic data-Graph Neural Networks. We trained and evaluated the proposed framework on this dataset. Results: The developed multi-modal DNN achieved higher accuracy than traditional medical approaches. The mean accuracy of the proposed model was 92.5% with an area under the receiver operating characteristic curve of 0.96, suggesting that the multi-modal DNN approach can detect critical morphologic and molecular features of melanoma beyond the limitations of traditional AI and traditional machine learning approaches. The combination of cutting-edge AI may allow access to a broader range of diagnostic data, which can allow dermatologists to make more accurate decisions and refine treatment strategies. However, the application of the framework will have to be validated at a larger scale and more clinical trials need to be conducted to establish whether this novel diagnostic approach will be more effective and feasible. © 2024 The Authors.","Retracted","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85196072734"
"Ma S.; Li M.; Ren Y.; Wang X.","Ma, Siyao (59469422400); Li, Mingzhu (58362968800); Ren, Yanyi (60362924900); Wang, Xuebing (60362925000)","59469422400; 58362968800; 60362924900; 60362925000","Data mining and toxicity profile analysis of immune checkpoint inhibitor-related skin toxicity events based on FAERS; [基于 FAERS 中免疫检查点抑制剂相关皮肤不良事件的数据挖掘与毒性特征分析]","2025","Journal of Central South University (Medical Sciences)","50","11","","1990","1991","0","10.11817/j.issn.1672-7347.2025.250316","https://www.scopus.com/pages/publications/105028953306?origin=resultslist","Objective: The widespread use of immune checkpoint inhibitors (ICIs) has led to breakthrough advances for patients with various advanced solid tumors. As the skin is an important target organ of immune responses, it is the most commonly affected site of treatment-related adverse events associated with ICIs, with a relatively high incidence of ICI-related skin toxicity events. Immune-related adverse events induced by ICIs are increasingly becoming a bottleneck limiting their clinical application. To collect post-marketing adverse events and medication errors related to drugs and therapeutic biological products and to evaluate real-world drug safety, the United States Food and Drug Administration (FDA) established the FDA Adverse Event Reporting System (FAERS) database. Based on the FAERS database, this study aims to systematically evaluate differences in the risk of skin toxicity events among different drug subtypes, cytotoxic-T-lymphocyte-associated antigen-4 inhibitors, programmed death-1 (PD-1) inhibitors, and programmed death-ligand 1 (PD-L1) inhibitors, and to explore the limitations and potential improvements of existing pharmacovigilance methods. Methods: Skin toxicity event data from the FAERS database between 2004 and 2024 were cleaned, standardized, and screened to identify adverse events associated with the target drugs. Pharmacovigilance signal detection methods, including the reporting odds ratio (ROR) method and Bayesian confidence propagation neural network (BCPNN) method, were used for the signals of ICIs-related skin toxicity event in the data, with stratified analyses by age and sex. For the ROR method, a skin toxicity event reporting count ≥3 and a lower bound of the 95% confidence interval (CI) >1 were used as criteria for a positive signal; for the Bayesian method, the information component was used as the core parameter. Subsequently, a systematic statistical analysis of the frequencies of different types of adverse events induced by different drugs was conducted, and outcomes associated with different drugs were summarized. Pharmacovigilance signal detection methods were applied for data analysis. Results: A total of 15 768 reports of skin-related adverse events were collected. The reported population was predominantly male, with most patients aged ≥65 years, and a higher proportion of cases from Europe and the United States. Among the reported indications, the 3 most common were malignant melanoma, non-small cell lung cancer, and metastatic melanoma. Most adverse events occurred within 30 days after drug administration, during which the number of reports was the highest. Using the two signal detection methods, positive signals were identified for 5 of the 8 target drugs: nivolumab (ROR=1.20, 95% CI 1.17 to 1.23), pembrolizumab (ROR=1.31, 95% CI 1.27 to 1.35), ipilimumab (ROR=1.82, 95% CI 1.74 to 1.90), atezolizumab (ROR=1.06, 95% CI 1.01 to 1.12), and tislelizumab (ROR=3.05, 95% CI 2.71 to 3.43). Further analysis showed that the PD-1 inhibitors pembrolizumab and nivolumab had higher numbers of reported cases of immune-mediated dermatitis, vitiligo, psoriasis, and other skin toxicity events than other ICIs. Comparison of outcomes of skin toxicity reactions caused by different drugs revealed that nivolumab-related cases had the highest numbers of reports of hospitalization, death, and life-threatening, followed by pembrolizumab. Conclusion: Five ICIs may induce skin toxicity events, which exhibit specific population characteristics, temporal patterns, and toxicity profiles. When using the PD-1 inhibitors nivolumab or pembrolizumab, particular vigilance is required for severe cutaneous toxicity to avoid unfavorable outcomes. Expanding the sample size and incorporating machine learning in the future may improve the precision and clinical translatability of signal detection, providing important evidence for optimizing clinical monitoring strategies for ICIs and establishing toxicity early-warning models. ©Journal of Central South University (Medical Science). All rights reserved.","Article","Final","","Scopus","2-s2.0-105028953306"
"Courtenay L.A.; Barbero-García I.; Martínez-Lastras S.; Del Pozo S.; Corral M.; González-Aguilera D.","Courtenay, Lloyd A. (57200549280); Barbero-García, Innes (57194070901); Martínez-Lastras, Saray (58101759200); Del Pozo, Susana (55584563700); Corral, Miriam (59272291500); González-Aguilera, Diego (24477009700)","57200549280; 57194070901; 58101759200; 55584563700; 59272291500; 24477009700","Using computational learning for non-melanoma skin cancer and actinic keratosis near-infrared hyperspectral signature classification","2024","Photodiagnosis and Photodynamic Therapy","49","","104269","","","10","10.1016/j.pdpdt.2024.104269","https://www.scopus.com/pages/publications/85201451273?origin=resultslist","Background: The early detection of Non-Melanoma Skin Cancer (NMSC) is essential to ensure patients receive the most effective treatment. Diagnostic screening tools for NMSC are crucial due to high confusion rates with other types of skin lesions, such as Actinic Keratosis. Nevertheless, current means of diagnosing and screening patients rely on either visual criteria, that are often conditioned by subjectivity and experience, or highly invasive, slow, and costly methods, such as histological diagnoses. From this, the objectives of the present study are to test if classification accuracies improve in the Near-Infrared region of the electromagnetic spectrum, as opposed to previous research in shorter wavelengths. Methods: This study utilizes near-infrared hyperspectral imaging, within the range of 900.6 and 1454.8 nm. Images were captured for a total of 125 patients, including 66 patients with Basal Cell Carcinoma, 42 with cutaneous Squamous Cell Carcinoma, and 17 with Actinic Keratosis, to differentiate between healthy and unhealthy skin lesions. A combination of hybrid convolutional neural networks (for feature extraction) and support vector machine algorithms (as a final activation layer) was employed for analysis. In addition, we test whether transfer learning is feasible from networks trained on shorter wavelengths of the electromagnetic spectrum. Results: The implemented method achieved a general accuracy of over 80 %, with some tasks reaching over 90 %. F1 scores were also found to generally be over the optimal threshold of 0.8. The best results were obtained when detecting Actinic Keratosis, however differentiation between the two types of malignant lesions was often noted to be more difficult. These results demonstrate the potential of near-infrared hyperspectral imaging combined with advanced machine learning techniques in distinguishing NMSC from other skin lesions. Transfer learning was unsuccessful in improving the training of these algorithms. Conclusions: We have shown that the Near-Infrared region of the electromagnetic spectrum is highly useful for the identification and study of non-melanoma type skin lesions. While the results are promising, further research is required to develop more robust algorithms that can minimize the impact of noise in these datasets before clinical application is feasible. © 2024 The Author(s)","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85201451273"
"Lamb C.R.; Rieger-Christ K.M.; Reddy C.; Huang J.; Ding J.; Johnson M.; Walsh P.S.; Bulman W.A.; Lofaro L.R.; Wahidi M.M.; Feller-Kopman D.J.; Spira A.; Kennedy G.C.; Mazzone P.J.","Lamb, Carla R. (7102304156); Rieger-Christ, Kimberly M. (6602699362); Reddy, Chakravarthy (19638957600); Huang, Jing (57141051600); Ding, Jie (57205716521); Johnson, Marla (57221110375); Walsh, P. Sean (7401934115); Bulman, William A. (6507459426); Lofaro, Lori R. (57197764122); Wahidi, Momen M. (6603182033); Feller-Kopman, David J. (6603142726); Spira, Avrum (56831999300); Kennedy, Giulia C. (7201789175); Mazzone, Peter J. (7006263594)","7102304156; 6602699362; 19638957600; 57141051600; 57205716521; 57221110375; 7401934115; 6507459426; 57197764122; 6603182033; 6603142726; 56831999300; 7201789175; 7006263594","A Nasal Swab Classifier to Evaluate the Probability of Lung Cancer in Patients With Pulmonary Nodules","2024","Chest","165","4","","1009","1019","10","10.1016/j.chest.2023.11.036","https://www.scopus.com/pages/publications/85186727801?origin=resultslist","Background: Accurate assessment of the probability of lung cancer (pCA) is critical in patients with pulmonary nodules (PNs) to help guide decision-making. We sought to validate a clinical-genomic classifier developed using whole-transcriptome sequencing of nasal epithelial cells from patients with a PN ≤ 30 mm who smoke or have previously smoked. Research Question: Can the pCA in individuals with a PN and a history of smoking be predicted by a classifier that uses clinical factors and genomic data from nasal epithelial cells obtained by cytologic brushing? Study Design and Methods: Machine learning was used to train a classifier using genomic and clinical features on 1,120 patients with PNs labeled as benign or malignant established by a final diagnosis or a minimum of 12 months of radiographic surveillance. The classifier was designed to yield low-, intermediate-, and high-risk categories. The classifier was validated in an independent set of 312 patients, including 63 patients with a prior history of cancer (other than lung cancer), comparing the classifier prediction with the known clinical outcome. Results: In the primary validation set, sensitivity and specificity for low-risk classification were 96% and 42%, whereas sensitivity and specificity for high-risk classification was 58% and 90%, respectively. Sensitivity was similar across stages of non-small cell lung cancer, independent of subtype. Performance compared favorably with clinical-only risk models. Analysis of 63 patients with prior cancer showed similar performance as did subanalyses of patients with light vs heavy smoking burden and those eligible for lung cancer screening vs those who were not. Interpretation: The nasal classifier provides an accurate assessment of pCA in individuals with a PN ≤ 30 mm who smoke or have previously smoked. Classifier-guided decision-making could lead to fewer diagnostic procedures in patients without cancer and more timely treatment in patients with lung cancer. © 2024","Conference paper","Final","","Scopus","2-s2.0-85186727801"
"Crawford M.E.; Kamali K.; Dorey R.A.; MacIntyre O.C.; Cleminson K.; MacGillivary M.L.; Green P.J.; Langley R.G.; Purdy K.S.; DeCoste R.C.; Gruchy J.R.; Pasternak S.; Oakley A.; Hull P.R.","Crawford, Madeleine E. (58790158100); Kamali, Kiyana (57211956351); Dorey, Rachel A. (57224134360); MacIntyre, Olivia C. (58790442100); Cleminson, Kristyna (57219561858); MacGillivary, Michael L. (57843534200); Green, Peter J. (7402935643); Langley, Richard G. (7201699598); Purdy, Kerri S. (7007166420); DeCoste, Ryan C. (56597787900); Gruchy, Jennette R. (54930470400); Pasternak, Sylvia (6603846262); Oakley, Amanda (7005972528); Hull, Peter R. (17734595300)","58790158100; 57211956351; 57224134360; 58790442100; 57219561858; 57843534200; 7402935643; 7201699598; 7007166420; 56597787900; 54930470400; 6603846262; 7005972528; 17734595300","Using Artificial Intelligence as a Melanoma Screening Tool in Self-Referred Patients","2024","Journal of Cutaneous Medicine and Surgery","28","1","","37","43","12","10.1177/12034754231216967","https://www.scopus.com/pages/publications/85181194227?origin=resultslist","Introduction: Early detection of melanoma requires timely access to medical care. In this study, we examined the feasibility of using artificial intelligence (AI) to flag possible melanomas in self-referred patients concerned that a skin lesion might be cancerous. Methods: Patients were recruited for the study through advertisements in 2 hospitals in Halifax, Nova Scotia, Canada. Lesions of concern were initially examined by a trained medical student and if the study criteria were met, the lesions were then scanned using the FotoFinder System®. The images were analyzed using their proprietary computer software. Macroscopic and dermoscopic images were evaluated by 3 experienced dermatologists and a senior dermatology resident, all blinded to the AI results. Suspicious lesions identified by the AI or any of the 3 dermatologists were then excised. Results: Seventeen confirmed malignancies were found, including 10 melanomas. Six melanomas were not flagged by the AI. These lesions showed ambiguous atypical melanocytic proliferations, and all were diagnostically challenging to the dermatologists and to the dermatopathologists. Eight malignancies were seen in patients with a family history of melanoma. The AI’s ability to diagnose malignancy is not inferior to the dermatologists examining dermoscopic images. Conclusion: AI, used in this study, may serve as a practical skin cancer screening aid. While it does have technical and diagnostic limitations, its inclusion in a melanoma screening program, directed at those with a concern about a particular lesion would be valuable in providing timely access to the diagnosis of skin cancer. © The Author(s) 2023.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85181194227"
